downtime_id,machine_id,start_time,end_time,downtime_minutes,downtime_reason,planned_unplanned,downtime_hours,start_date,start_year,start_month,start_month_name,start_year_month,is_unplanned
DT-1001,MCH-130,2026-05-12 11:55:02,2026-05-12 16:45:02,290,Preventive maintenance,Planned,3.2222222222222223,2026-05-12,2026,5,May,2026-05,False
DT-1002,MCH-122,2026-01-02 02:50:18,2026-01-02 04:06:18,76,Sensor fault,Unplanned,0.8444444444444444,2026-01-02,2026,1,January,2026-01,True
DT-1003,MCH-130,2026-01-02 16:21:39,2026-01-02 17:39:39,78,Mechanical failure,Unplanned,0.8666666666666667,2026-01-02,2026,1,January,2026-01,True
DT-1004,MCH-102,2026-01-24 00:44:13,2026-01-24 01:04:13,20,Sensor fault,Unplanned,0.2222222222222222,2026-01-24,2026,1,January,2026-01,True
DT-1005,MCH-111,2026-01-14 03:57:39,2026-01-14 06:29:39,152,Mechanical failure,Unplanned,1.6888888888888889,2026-01-14,2026,1,January,2026-01,True
DT-1006,MCH-105,2026-01-03 17:20:55,2026-01-03 20:53:55,213,Preventive maintenance,Unplanned,2.3666666666666667,2026-01-03,2026,1,January,2026-01,True
DT-1007,MCH-120,2025-12-02 21:55:17,2025-12-03 03:09:17,314,Unknown,Planned,3.488888888888889,2025-12-02,2025,12,December,2025-12,False
DT-1008,MCH-123,2026-01-24 13:02:44,2026-01-24 20:37:44,455,Software interface issue,Planned,5.055555555555555,2026-01-24,2026,1,January,2026-01,False
DT-1009,MCH-122,2026-01-15 16:44:02,2026-01-15 21:02:02,258,Software interface issue,Planned,2.8666666666666667,2026-01-15,2026,1,January,2026-01,False
DT-1010,MCH-123,2026-02-03 04:03:19,2026-02-03 05:22:19,79,Software interface issue,Unplanned,0.8777777777777778,2026-02-03,2026,2,February,2026-02,True
DT-1011,MCH-120,2025-11-19 21:06:23,2025-11-20 04:14:23,428,Preventive maintenance,Planned,4.7555555555555555,2025-11-19,2025,11,November,2025-11,False
DT-1012,MCH-109,2025-12-08 20:29:09,2025-12-08 23:29:09,180,Sensor fault,Unplanned,2.0,2025-12-08,2025,12,December,2025-12,True
DT-1013,MCH-101,2026-04-08 20:37:18,2026-04-09 04:19:18,462,Operator error,Unplanned,5.133333333333334,2026-04-08,2026,4,April,2026-04,True
DT-1014,MCH-127,2026-04-14 13:23:26,2026-04-14 18:54:26,331,Unknown,Planned,3.6777777777777776,2026-04-14,2026,4,April,2026-04,False
DT-1015,MCH-105,2026-01-09 04:36:20,2026-01-09 08:52:20,256,Power interruption,Unplanned,2.8444444444444446,2026-01-09,2026,1,January,2026-01,True
DT-1016,MCH-111,2026-02-18 15:33:50,2026-02-18 16:34:50,61,Mechanical failure,Planned,0.6777777777777778,2026-02-18,2026,2,February,2026-02,False
DT-1017,MCH-114,2026-03-29 20:03:27,2026-03-30 01:36:27,333,Sensor fault,Unplanned,3.7,2026-03-29,2026,3,March,2026-03,True
DT-1018,MCH-104,2025-12-28 20:23:04,2025-12-29 01:10:04,287,Network disconnect,Unplanned,3.188888888888889,2025-12-28,2025,12,December,2025-12,True
DT-1019,MCH-101,2026-03-04 05:11:34,2026-03-04 08:28:34,197,Network disconnect,Unplanned,2.188888888888889,2026-03-04,2026,3,March,2026-03,True
DT-1020,MCH-101,2026-05-11 22:46:41,2026-05-12 03:03:41,257,Operator error,Unplanned,2.8555555555555556,2026-05-11,2026,5,May,2026-05,True
DT-1021,MCH-101,2026-04-23 10:24:15,2026-04-23 17:21:15,417,Software interface issue,Unplanned,4.633333333333334,2026-04-23,2026,4,April,2026-04,True
DT-1022,MCH-128,2026-02-14 05:35:51,2026-02-14 13:17:51,462,Network disconnect,Unplanned,5.133333333333334,2026-02-14,2026,2,February,2026-02,True
DT-1023,MCH-105,2026-01-29 03:13:20,2026-01-29 06:01:20,168,Preventive maintenance,Planned,1.8666666666666667,2026-01-29,2026,1,January,2026-01,False
DT-1024,MCH-123,2026-01-10 09:23:22,2026-01-10 15:09:22,346,Preventive maintenance,Planned,3.8444444444444446,2026-01-10,2026,1,January,2026-01,False
DT-1025,MCH-121,2026-01-13 01:49:16,2026-01-13 06:15:16,266,Unknown,Planned,2.9555555555555557,2026-01-13,2026,1,January,2026-01,False
DT-1026,MCH-116,2026-01-27 03:06:58,2026-01-27 05:31:58,145,Sensor fault,Unplanned,1.6111111111111112,2026-01-27,2026,1,January,2026-01,True
DT-1027,MCH-127,2025-12-25 22:38:53,2025-12-26 02:19:53,221,Mechanical failure,Unplanned,2.4555555555555557,2025-12-25,2025,12,December,2025-12,True
DT-1028,MCH-129,2025-12-05 04:44:01,2025-12-05 05:01:01,17,Network disconnect,Unplanned,0.18888888888888888,2025-12-05,2025,12,December,2025-12,True
DT-1029,MCH-109,2026-04-09 08:12:58,2026-04-09 09:02:58,50,Network disconnect,Unplanned,0.5555555555555556,2026-04-09,2026,4,April,2026-04,True
DT-1030,MCH-105,2026-01-30 19:12:05,2026-01-30 23:28:05,256,Power interruption,Planned,2.8444444444444446,2026-01-30,2026,1,January,2026-01,False
