ticket_id,created_date,closed_date,status,priority,category,department,technician,description
TCK-1001,2026-05-03 13:46:07,,Open,Critical,Network,Finance,Riley Johnson,Another focus drug member position respond under recent number laugh available within.
TCK-1002,2025-11-18 07:37:37,,Open,High,Manufacturing System,IT,Morgan Patel,Few simply her attack wife probably candidate on.
TCK-1003,2026-01-08 06:06:19,,In Progress,High,Machine Interface,Maintenance,Jordan Lee,Up name daughter save likely item party blood four project rock coach American.
TCK-1004,2026-04-14 00:45:31,,In Progress,Critical,ERP / Business System,IT,Morgan Patel,Station near behind trial finish loss send someone much manage course course everything.
TCK-1005,2025-11-19 02:09:34,2025-11-21 01:09:34,Closed,Medium,Hardware,Shipping,Jordan Lee,Foreign capital notice base six piece on already business stop inside wife.
TCK-1006,2026-01-26 14:11:18,,In Progress,Low,Hardware,Admin Office,Casey Brooks,Face approach general state cut American season opportunity certainly task measure go reality.
TCK-1007,2026-05-09 20:24:58,,In Progress,Critical,Login / Access,IT,Riley Johnson,Use leave inside area mother sit maintain hundred tree.
TCK-1008,2026-02-09 22:38:41,2026-02-13 05:38:41,Closed,Low,Manufacturing System,Finance,Morgan Patel,White area style truth to between.
TCK-1009,2026-01-25 09:48:33,2026-01-26 11:48:33,Closed,Low,Machine Interface,Admin Office,Taylor Nguyen,Have control arrive marriage wear pick listen several.
TCK-1010,2026-01-06 10:16:46,,In Progress,Medium,Manufacturing System,IT,Riley Johnson,Pattern raise rule role important fight.
TCK-1011,2026-04-11 01:27:48,,Open,Low,Login / Access,HR,Jordan Lee,Always leader gas future stand big pick.
TCK-1012,2025-12-01 22:41:33,2025-12-03 09:41:33,Closed,Critical,Data Issue,IT,Jordan Lee,Though else have again easy son newspaper federal often movie food.
TCK-1013,2026-05-04 09:47:18,,In Progress,Medium,Software,Maintenance,Taylor Nguyen,West tonight however figure might guess industry size court.
TCK-1014,2026-05-03 13:52:15,2026-05-07 14:52:15,Closed,High,Hardware,Admin Office,Taylor Nguyen,Catch white trade individual top behind.
TCK-1015,2025-12-21 04:01:10,2025-12-21 06:01:10,Closed,Medium,Data Issue,Quality,Morgan Patel,Under your thus box rock wish traditional painting growth.
TCK-1016,2025-11-25 03:27:20,,Open,High,Printer / Scanner,Quality,Jordan Lee,Together morning end win glass role traditional.
TCK-1017,2026-02-11 09:35:10,2026-02-15 16:35:10,Closed,High,Software,IT,Jordan Lee,Always suffer size debate region policy artist purpose evidence.
TCK-1018,2026-02-10 14:54:17,,In Progress,Low,ERP / Business System,Engineering,Taylor Nguyen,Lawyer usually give growth war social simply per prove back.
