ticket_id,created_date,closed_date,status,priority,category,department,technician,description,resolution_time_hours,sla_target_hours,sla_met,created_year,created_month,created_month_name,created_year_month
TCK-1001,2026-05-10 13:36:15,2026-05-12 09:36:15,Closed,High,Machine Interface,Finance,Taylor Nguyen,Central claim perform science whether our check agency kitchen if couple.,44.0,8,False,2026,5,May,2026-05
TCK-1002,2026-05-17 11:11:02,2026-05-22 10:11:02,Closed,Medium,Network,Production,Riley Johnson,Central number road act economic tend kid physical expert Republican listen.,119.0,24,False,2026,5,May,2026-05
TCK-1003,2026-03-31 18:59:26,2026-04-02 09:59:26,Closed,High,ERP / Business System,Quality,Riley Johnson,Treat and month now reach maintain game sell address attention.,39.0,8,False,2026,3,March,2026-03
TCK-1004,2026-04-06 05:57:19,2026-04-09 12:57:19,Closed,High,Hardware,Quality,Riley Johnson,Leg employee through model seek foreign model near page fall.,79.0,8,False,2026,4,April,2026-04
TCK-1005,2026-04-04 09:25:15,,Open,Critical,Hardware,Production,Morgan Patel,Shake finish then win city whole.,,4,,2026,4,April,2026-04
TCK-1006,2026-01-01 16:32:28,2026-01-04 05:32:28,Closed,Medium,Printer / Scanner,IT,Casey Brooks,Visit walk husband decade know buy resource activity.,61.0,24,False,2026,1,January,2026-01
TCK-1007,2026-03-02 17:01:43,,Open,Medium,ERP / Business System,IT,Casey Brooks,Economic road break serious whatever draw stand a writer end machine public player.,,24,,2026,3,March,2026-03
TCK-1008,2025-11-25 04:13:11,,In Progress,Low,Printer / Scanner,Finance,Taylor Nguyen,Write but fill resource on particularly benefit run.,,96,,2025,11,November,2025-11
TCK-1009,2025-11-28 21:21:19,2025-11-29 23:21:19,Closed,High,Login / Access,Quality,Morgan Patel,Until debate yourself body role girl main consider us many sound woman.,26.0,8,False,2025,11,November,2025-11
TCK-1010,2026-05-20 05:29:13,,In Progress,Critical,Data Issue,Production,Casey Brooks,According author pretty lot kid service.,,4,,2026,5,May,2026-05
TCK-1011,2026-03-28 16:44:50,2026-04-02 13:44:50,Closed,High,Data Issue,Production,Morgan Patel,Station appear argue improve girl spend base both act page.,117.0,8,False,2026,3,March,2026-03
TCK-1012,2026-01-31 11:31:07,,In Progress,Low,Software,IT,Casey Brooks,Open weight table amount standard war skin fight difficult produce as.,,96,,2026,1,January,2026-01
TCK-1013,2026-02-08 21:00:50,2026-02-09 15:00:50,Closed,High,Data Issue,IT,Jordan Lee,Election money perhaps analysis every across term need say.,18.0,8,False,2026,2,February,2026-02
TCK-1014,2026-01-03 14:40:36,,In Progress,Critical,Printer / Scanner,Finance,Morgan Patel,Image military control attack central perform event write strategy message.,,4,,2026,1,January,2026-01
TCK-1015,2026-04-26 11:03:09,,In Progress,High,Login / Access,Engineering,Riley Johnson,National time major hair reach popular government guess.,,8,,2026,4,April,2026-04
TCK-1016,2026-03-20 03:03:53,2026-03-22 08:03:53,Closed,Critical,Manufacturing System,Production,Riley Johnson,Prove computer somebody face executive hand quality last break yeah reality.,53.0,4,False,2026,3,March,2026-03
TCK-1017,2026-02-15 20:27:03,,In Progress,High,Manufacturing System,Maintenance,Taylor Nguyen,Continue to environmental fill executive usually.,,8,,2026,2,February,2026-02
TCK-1018,2026-04-24 06:19:33,2026-04-25 18:19:33,Closed,High,Machine Interface,Finance,Jordan Lee,Current movement early with off article stock Congress case run.,36.0,8,False,2026,4,April,2026-04
TCK-1019,2026-04-26 01:38:46,2026-04-27 13:38:46,Closed,Low,Printer / Scanner,Shipping,Casey Brooks,Property condition ground occur bring figure address job.,36.0,96,True,2026,4,April,2026-04
TCK-1020,2025-12-27 18:50:30,2025-12-29 15:50:30,Closed,Medium,Hardware,Finance,Riley Johnson,Moment professor player recognize charge hand far try learn morning need.,45.0,24,False,2025,12,December,2025-12
TCK-1021,2026-01-28 07:54:49,,Open,Medium,Hardware,Finance,Riley Johnson,Rate learn enjoy agency walk figure plan language.,,24,,2026,1,January,2026-01
